Air_state,Air_date,Air_value
CA,2020/1/12,43
CO,2020/1/12,33.8
CT,2020/1/12,30.2
DE,2020/1/12,32.5
FL,2020/1/12,41.8
GA,2020/1/12,26.2
HI,2020/1/12,17.7
IA,2020/1/12,30.4
ID,2020/1/12,23.9
IL,2020/1/12,27.2
IN,2020/1/12,27.8
KS,2020/1/12,37.5
KY,2020/1/12,13.7
LA,2020/1/12,24.7
MA,2020/1/12,34.8
MD,2020/1/12,39.7
ME,2020/1/12,17
MI,2020/1/12,23.8
MN,2020/1/12,22.7
MO,2020/1/12,24
MS,2020/1/12,34
MT,2020/1/12,27.4
NC,2020/1/12,17.8
ND,2020/1/12,30
NE,2020/1/12,19
NH,2020/1/12,31.7
NJ,2020/1/12,31
NM,2020/1/12,37.7
NV,2020/1/12,38
NY,2020/1/12,32.9
OH,2020/1/12,13.8
OK,2020/1/12,29
OR,2020/1/12,12.8
PA,2020/1/12,29.4
SC,2020/1/12,25.6
SD,2020/1/12,31.9
TN,2020/1/12,17.1
TX,2020/1/12,30.5
UT,2020/1/12,36.1
VA,2020/1/12,26.8
VT,2020/1/12,29.5
WA,2020/1/12,17.5
WI,2020/1/12,27.3
WV,2020/1/12,19.5
WY,2020/1/12,36.6
AK,2020/1/13,0
AL,2020/1/13,35.5
AR,2020/1/13,28.6
AZ,2020/1/13,42.7
CA,2020/1/13,41.6
CO,2020/1/13,33.4
CT,2020/1/13,34
DE,2020/1/13,29
FL,2020/1/13,40.8
GA,2020/1/13,35.5
HI,2020/1/13,27
IA,2020/1/13,41.9
ID,2020/1/13,25.8
IL,2020/1/13,37.5
IN,2020/1/13,33.2
KS,2020/1/13,39
KY,2020/1/13,23.1
LA,2020/1/13,31.1
MA,2020/1/13,33.7
MD,2020/1/13,33
ME,2020/1/13,18.7
MI,2020/1/13,34.5
MN,2020/1/13,35.1
MO,2020/1/13,35
MS,2020/1/13,40.5
MT,2020/1/13,26.6
NC,2020/1/13,21.8
ND,2020/1/13,32
NE,2020/1/13,41
NH,2020/1/13,26.3
NJ,2020/1/13,26.2
NM,2020/1/13,38.7
NV,2020/1/13,47
NY,2020/1/13,32.5
OH,2020/1/13,26.9
OK,2020/1/13,42.9
OR,2020/1/13,17.3
PA,2020/1/13,34.8
SC,2020/1/13,22.9
SD,2020/1/13,37.4
TN,2020/1/13,25.8
TX,2020/1/13,34.5
UT,2020/1/13,39.7
VA,2020/1/13,32.4
VT,2020/1/13,30.8
WA,2020/1/13,19.9
WI,2020/1/13,43.5
WV,2020/1/13,37
WY,2020/1/13,36.6
AK,2020/1/14,0
AL,2020/1/14,19.5
AR,2020/1/14,27.4
AZ,2020/1/14,44
CA,2020/1/14,39.3
CO,2020/1/14,41.4
CT,2020/1/14,44.2
DE,2020/1/14,41.5
FL,2020/1/14,37.1
GA,2020/1/14,24.4
HI,2020/1/14,23.3
IA,2020/1/14,51.3
ID,2020/1/14,29.5
IL,2020/1/14,51.6
IN,2020/1/14,42.4
KS,2020/1/14,39.5
KY,2020/1/14,38
LA,2020/1/14,26.9
MA,2020/1/14,39.8
MD,2020/1/14,41.3
ME,2020/1/14,25.3
MI,2020/1/14,38.7
MN,2020/1/14,34.6
MO,2020/1/14,32
MS,2020/1/14,21.8
MT,2020/1/14,31.9
NC,2020/1/14,17.7
ND,2020/1/14,29
NE,2020/1/14,35
NH,2020/1/14,28.7
NJ,2020/1/14,34.2
NM,2020/1/14,40.1
NV,2020/1/14,41.8
NY,2020/1/14,39.3
OH,2020/1/14,35.3
OK,2020/1/14,40.4
OR,2020/1/14,20.8
PA,2020/1/14,43.5
SC,2020/1/14,21.6
SD,2020/1/14,36.4
TN,2020/1/14,20.9
TX,2020/1/14,34
UT,2020/1/14,42.3
VA,2020/1/14,36.2
VT,2020/1/14,46.5
WA,2020/1/14,22.9
WI,2020/1/14,52.4
WV,2020/1/14,41.8
WY,2020/1/14,34.9
AK,2020/1/15,0
AL,2020/1/15,26.2
AR,2020/1/15,32
AZ,2020/1/15,48.6
CA,2020/1/15,41.2
CO,2020/1/15,35.2
CT,2020/1/15,42.3
DE,2020/1/15,59.5
FL,2020/1/15,36
GA,2020/1/15,28.7
HI,2020/1/15,23.3
IA,2020/1/15,52.7
ID,2020/1/15,28.6
IL,2020/1/15,46.9
IN,2020/1/15,39.5
KS,2020/1/15,52.5
KY,2020/1/15,29.3
LA,2020/1/15,31
MA,2020/1/15,39.2
MD,2020/1/15,45.7
ME,2020/1/15,24.3
MI,2020/1/15,44
MN,2020/1/15,36.4
MO,2020/1/15,33
MS,2020/1/15,33.8
MT,2020/1/15,38.9
NC,2020/1/15,17.4
ND,2020/1/15,29.3
NE,2020/1/15,44
NH,2020/1/15,33
NJ,2020/1/15,43.5
NM,2020/1/15,40.6
NV,2020/1/15,42.7
NY,2020/1/15,32.6
OH,2020/1/15,31.5
OK,2020/1/15,45.6
OR,2020/1/15,24.2
PA,2020/1/15,44.7
SC,2020/1/15,23.9
SD,2020/1/15,30.6
TN,2020/1/15,19.9
TX,2020/1/15,35.3
UT,2020/1/15,50.9
VA,2020/1/15,24.4
VT,2020/1/15,35
WA,2020/1/15,25.3
WI,2020/1/15,55.7
WV,2020/1/15,31.8
WY,2020/1/15,36.4
AK,2020/1/16,21.7
AL,2020/1/16,24.8
AR,2020/1/16,28.7
AZ,2020/1/16,39.4
CA,2020/1/16,45
CO,2020/1/16,35.2
CT,2020/1/16,33.8
DE,2020/1/16,31
FL,2020/1/16,37.4
GA,2020/1/16,22.8
HI,2020/1/16,17.7
IA,2020/1/16,28
ID,2020/1/16,35.4
IL,2020/1/16,35.8
IN,2020/1/16,41.3
KS,2020/1/16,22.8
KY,2020/1/16,29.2
LA,2020/1/16,27.7
MA,2020/1/16,35
MD,2020/1/16,39.3
ME,2020/1/16,20.7
MI,2020/1/16,28.7
MN,2020/1/16,32
MO,2020/1/16,32.3
MS,2020/1/16,36.5
MT,2020/1/16,34.3
NC,2020/1/16,18.8
ND,2020/1/16,33
NE,2020/1/16,28
NH,2020/1/16,32.7
NJ,2020/1/16,34.8
NM,2020/1/16,31.6
NV,2020/1/16,40.3
NY,2020/1/16,29.9
OH,2020/1/16,30.3
OK,2020/1/16,39.8
OR,2020/1/16,33.6
PA,2020/1/16,33
SC,2020/1/16,30.6
SD,2020/1/16,38.4
TN,2020/1/16,24.6
TX,2020/1/16,29
UT,2020/1/16,47
VA,2020/1/16,21.7
VT,2020/1/16,34.2
WA,2020/1/16,34.2
WI,2020/1/16,38.2
WV,2020/1/16,27
WY,2020/1/16,38.5
AK,2020/1/17,34.7
AL,2020/1/17,22.8
AR,2020/1/17,25.4
AZ,2020/1/17,37.3
CA,2020/1/17,35.4
CO,2020/1/17,38.3
CT,2020/1/17,28.7
DE,2020/1/17,31.5
FL,2020/1/17,39.9
GA,2020/1/17,22.2
HI,2020/1/17,26.3
IA,2020/1/17,33.8
ID,2020/1/17,30.4
IL,2020/1/17,35.1
IN,2020/1/17,31.1
KS,2020/1/17,22.8
KY,2020/1/17,39
LA,2020/1/17,31.6
MA,2020/1/17,38.5
MD,2020/1/17,33
ME,2020/1/17,22
MI,2020/1/17,22
MN,2020/1/17,32.7
MO,2020/1/17,24
MS,2020/1/17,31.2
MT,2020/1/17,40.1
NC,2020/1/17,17.2
ND,2020/1/17,32.7
NE,2020/1/17,10
NH,2020/1/17,38
NJ,2020/1/17,33
NM,2020/1/17,35.7
NV,2020/1/17,36
NY,2020/1/17,30.8
OH,2020/1/17,15.4
OK,2020/1/17,20.9
OR,2020/1/17,31.6
PA,2020/1/17,32.9
SC,2020/1/17,29.7
SD,2020/1/17,31.6
TN,2020/1/17,21.9
TX,2020/1/17,29
UT,2020/1/17,42.3
VA,2020/1/17,26
VT,2020/1/17,35.5
WA,2020/1/17,40.4
WI,2020/1/17,34.7
WV,2020/1/17,27.8
WY,2020/1/17,37.6
AK,2020/1/18,36
AL,2020/1/18,30.2
AR,2020/1/18,31.2
AZ,2020/1/18,42.7
CA,2020/1/18,42.8
