Province_State,confirmed,deaths,Date,ICU_Beds,Total_Population,Population_Aged_60_plus,usa_state_latitude,Mortality_Rate,Residents_Aged_60_plus_Per_Each_ICU_Bed,mask,face mask,covid-19,coronavirus,sanitizer,usa_state_code,Air_value_avg_perday
Connecticut,0.0,0.0,2020/1/27,674.0,3594478.0,805545.0,41.603221,0.0,1195.1706231454007,11,2,0,87,0,CT,22.166666666666668
Delaware,0.0,0.0,2020/1/27,186.0,943732.0,220732.0,38.910832,0.0,1186.731182795699,9,1,0,89,1,DE,33.0
Florida,0.0,0.0,2020/1/27,5604.0,2.0278447E7,5200132.0,27.664827,0.0,927.9321912919344,11,2,0,87,0,FL,38.8
Georgia,0.0,0.0,2020/1/27,2508.0,1.0201635E7,1863154.0,32.157435,0.0,742.884370015949,11,1,0,88,0,GA,22.357142857142858
Hawaii,0.0,0.0,2020/1/27,201.0,1421658.0,326878.0,19.898682,0.0,1626.2587064676618,13,4,0,82,1,HI,19.333333333333332
Idaho,0.0,0.0,2020/1/27,314.0,1657375.0,342148.0,44.068202,0.0,1089.6433121019109,11,1,0,87,1,ID,23.1
Illinois,1.0,0.0,2020/1/27,3144.0,1.2854526E7,2614633.0,40.633125,0.0,831.6262722646311,10,2,0,88,0,IL,43.583333333333336
Indiana,0.0,0.0,2020/1/27,1861.0,6614418.0,1369219.0,40.551217,0.0,735.7436861902203,10,1,0,88,1,IN,37.0
Iowa,0.0,0.0,2020/1/27,545.0,3118102.0,698176.0,41.878003,0.0,1281.056880733945,9,1,0,90,0,IA,44.75
Kansas,0.0,0.0,2020/1/27,767.0,2903820.0,600412.0,39.011902,0.0,782.8057366362451,6,0,0,94,0,KS,43.25
Kentucky,0.0,0.0,2020/1/27,1392.0,4424376.0,947950.0,37.839333,0.0,680.9985632183908,12,3,0,85,0,KY,38.75
Louisiana,0.0,0.0,2020/1/27,1289.0,4663461.0,936828.0,31.244823,0.0,726.7866563227308,15,1,0,83,1,LA,32.57142857142857
Maine,0.0,0.0,2020/1/27,256.0,1330158.0,348777.0,45.253783,0.0,1362.41015625,8,1,0,90,1,ME,14.0
Maryland,0.0,0.0,2020/1/27,1134.0,5996079.0,1211919.0,39.045755,0.0,1068.7116402116403,9,2,0,88,1,MD,34.333333333333336
Massachusetts,0.0,0.0,2020/1/27,1326.0,6789319.0,1471985.0,42.407211,0.0,1110.0942684766214,10,2,0,88,0,MA,21.5
Michigan,0.0,0.0,2020/1/27,2423.0,9925568.0,2227519.0,44.314844,0.0,919.3227404044572,11,1,0,87,1,MI,16.625
Minnesota,0.0,0.0,2020/1/27,1171.0,5490726.0,1140063.0,46.729553,0.0,973.5807002561913,8,3,0,89,0,MN,19.5
Mississippi,0.0,0.0,2020/1/27,824.0,2986220.0,614864.0,32.354668,0.0,746.1941747572815,11,1,0,87,1,MS,29.666666666666668
Missouri,0.0,0.0,2020/1/27,1888.0,6075300.0,1333838.0,37.964253,0.0,706.4819915254237,9,1,0,90,0,MO,11.571428571428571
Montana,0.0,0.0,2020/1/27,165.0,1029862.0,250486.0,46.879682,0.0,1518.0969696969696,5,4,0,91,0,MT,29.142857142857142
Nebraska,0.0,0.0,2020/1/27,440.0,1893921.0,391359.0,41.492537,0.0,889.4522727272728,10,2,0,87,1,NE,8.5
Nevada,0.0,0.0,2020/1/27,900.0,2887725.0,589328.0,38.80261,0.0,654.8088888888889,11,2,0,87,0,NV,32.5
New Hampshire,0.0,0.0,2020/1/27,242.0,1331848.0,312572.0,43.193852,0.0,1291.6198347107438,7,1,0,92,0,NH,13.6
New Jersey,0.0,0.0,2020/1/27,1822.0,8960161.0,1892597.0,40.058324,0.0,1038.7469813391876,10,2,0,88,0,NJ,25.25
New Mexico,0.0,0.0,2020/1/27,340.0,2084828.0,459775.0,34.97273,0.0,1352.2794117647059,9,1,0,90,0,NM,32.625
New York,0.0,0.0,2020/1/27,3952.0,1.9798228E7,4201533.0,43.299428,0.0,1063.1409412955466,14,2,0,84,0,NY,25.7
North Carolina,0.0,0.0,2020/1/27,2227.0,1.0052564E7,2115334.0,35.759573,0.0,949.8581050740908,10,1,0,89,0,NC,20.5625
North Dakota,0.0,0.0,2020/1/27,238.0,745475.0,151255.0,47.551493,0.0,635.5252100840336,10,4,0,84,2,ND,28.25
Ohio,0.0,0.0,2020/1/27,3314.0,1.1609756E7,2593757.0,40.417287,0.0,782.666566083283,8,1,0,91,0,OH,22.0
Oklahoma,0.0,0.0,2020/1/27,1064.0,3896251.0,800259.0,35.007752,0.0,752.1231203007519,8,0,0,92,0,OK,31.4
Oregon,0.0,0.0,2020/1/27,659.0,4025127.0,928932.0,43.804133,0.0,1409.608497723824,11,2,0,87,0,OR,19.153846153846153
Pennsylvania,0.0,0.0,2020/1/27,3169.0,1.2790505E7,3027054.0,41.203322,0.0,955.2079520353424,10,1,0,89,0,PA,27.608695652173914
South Carolina,0.0,0.0,2020/1/27,1225.0,4893444.0,1109892.0,33.836081,0.0,906.0342857142857,10,2,0,88,0,SC,28.375
South Dakota,0.0,0.0,2020/1/27,152.0,855444.0,186396.0,43.969515,0.0,1226.2894736842106,7,5,0,88,0,SD,29.142857142857142
Tennessee,0.0,0.0,2020/1/27,2209.0,6597381.0,1419659.0,35.517491,0.0,642.6704391127207,11,2,0,86,1,TN,25.444444444444443
Texas,0.0,0.0,2020/1/27,6199.0,2.7419612E7,4618463.0,31.968599,0.0,745.0335537989998,12,2,0,86,0,TX,33.91304347826087
Utah,0.0,0.0,2020/1/27,565.0,2993941.0,442482.0,39.32098,0.0,783.153982300885,10,2,0,88,0,UT,38.285714285714285
Vermont,0.0,0.0,2020/1/27,94.0,624636.0,156189.0,44.558803,0.0,1661.5851063829787,6,0,0,94,0,VT,20.0
